1.00	0.51	0.42	0.37	0.28	0.18	0.20	0.20	0.31	0.14	0.20	0.25	0.32
0.51	1.00	0.57	0.30	0.29	0.23	0.19	0.17	0.34	0.17	0.26	0.22	0.31
0.42	0.57	1.00	0.33	0.33	0.34	0.31	0.28	0.39	0.18	0.25	0.13	0.23
0.37	0.30	0.33	1.00	0.18	0.24	0.33	0.40	0.31	0.19	0.05	0.09	0.37
0.28	0.29	0.33	0.18	1.00	0.43	0.17	0.18	0.21	0.39	0.54	0.19	0.25
0.18	0.23	0.34	0.24	0.43	1.00	0.32	0.37	0.24	0.37	0.32	0.30	0.20
0.20	0.19	0.31	0.33	0.17	0.32	1.00	0.56	0.43	0.24	0.05	0.13	0.25
0.20	0.17	0.28	0.40	0.18	0.37	0.56	1.00	0.34	0.25	0.08	0.18	0.23
0.31	0.34	0.39	0.31	0.21	0.24	0.43	0.34	1.00	0.17	0.11	0.19	0.24
0.14	0.17	0.18	0.19	0.39	0.37	0.24	0.25	0.17	1.00	0.32	0.16	0.33
0.20	0.26	0.25	0.05	0.54	0.32	0.05	0.08	0.11	0.32	1.00	0.30	0.16
0.25	0.22	0.13	0.09	0.19	0.30	0.13	0.18	0.19	0.16	0.30	1.00	0.23
0.32	0.31	0.23	0.37	0.25	0.20	0.25	0.23	0.24	0.33	0.16	0.23	1.00
